modulation,source_snr_db,jammer_type,jsr_db,num_samples,detection_rate,mean_jam_probability
128APSK,-20.0,barrage,-10.0,9,0.0,0.05709034908148977
128APSK,-20.0,barrage,-5.0,9,0.0,0.24827342397636837
128APSK,-20.0,barrage,0.0,9,1.0,0.98878988954756
128APSK,-20.0,barrage,5.0,9,1.0,0.9999959866205851
128APSK,-20.0,barrage,10.0,9,1.0,0.9999998807907104
128APSK,-20.0,chirp,-10.0,9,0.0,0.058619172829720706
128APSK,-20.0,chirp,-5.0,9,0.4444444444444444,0.44006645679473877
128APSK,-20.0,chirp,0.0,9,1.0,0.9802743395169576
128APSK,-20.0,chirp,5.0,9,1.0,0.9999780919816759
128APSK,-20.0,chirp,10.0,9,1.0,0.9999993244806925
128APSK,-20.0,tone,-10.0,9,0.0,0.0747750544299682
128APSK,-20.0,tone,-5.0,9,0.1111111111111111,0.3421388790011406
128APSK,-20.0,tone,0.0,9,1.0,0.986337251133389
128APSK,-20.0,tone,5.0,9,1.0,0.9999631577067905
128APSK,-20.0,tone,10.0,9,1.0,0.9999786880281236
128APSK,-10.0,barrage,-10.0,10,0.0,0.06645459197461605
128APSK,-10.0,barrage,-5.0,10,0.0,0.29579840004444125
128APSK,-10.0,barrage,0.0,10,1.0,0.9916406750679017
128APSK,-10.0,barrage,5.0,10,1.0,0.9999968528747558
128APSK,-10.0,barrage,10.0,10,1.0,0.9999999165534973
128APSK,-10.0,chirp,-10.0,10,0.0,0.07223098948597909
128APSK,-10.0,chirp,-5.0,10,0.2,0.3375436380505562
128APSK,-10.0,chirp,0.0,10,1.0,0.9806890547275543
128APSK,-10.0,chirp,5.0,10,1.0,0.9999304234981536
128APSK,-10.0,chirp,10.0,10,1.0,0.9999984383583069
128APSK,-10.0,tone,-10.0,10,0.0,0.07483885698020458
128APSK,-10.0,tone,-5.0,10,0.2,0.3512960150837898
128APSK,-10.0,tone,0.0,10,1.0,0.9872193932533264
128APSK,-10.0,tone,5.0,10,1.0,0.9999658048152924
128APSK,-10.0,tone,10.0,10,1.0,0.9999782025814057
128APSK,0.0,barrage,-10.0,10,0.0,0.12629460915923119
128APSK,0.0,barrage,-5.0,10,0.6,0.5185992479324341
128APSK,0.0,barrage,0.0,10,1.0,0.9957013249397277
128APSK,0.0,barrage,5.0,10,1.0,0.9999981999397278
128APSK,0.0,barrage,10.0,10,1.0,0.9999999403953552
128APSK,0.0,chirp,-10.0,10,0.0,0.1347525268793106
128APSK,0.0,chirp,-5.0,10,0.8,0.5806843802332878
128APSK,0.0,chirp,0.0,10,1.0,0.9978614151477814
128APSK,0.0,chirp,5.0,10,1.0,0.9998090147972107
128APSK,0.0,chirp,10.0,10,1.0,0.9999998092651368
128APSK,0.0,tone,-10.0,10,0.0,0.1378801569342613
128APSK,0.0,tone,-5.0,10,0.8,0.6669016212224961
128APSK,0.0,tone,0.0,10,1.0,0.9951418340206146
128APSK,0.0,tone,5.0,10,1.0,0.9999966025352478
128APSK,0.0,tone,10.0,10,1.0,0.9999995231628418
128APSK,10.0,barrage,-10.0,10,0.0,0.09174172095954418
128APSK,10.0,barrage,-5.0,10,0.9,0.6139512985944748
128APSK,10.0,barrage,0.0,10,1.0,0.9969370067119598
128APSK,10.0,barrage,5.0,10,1.0,0.9999986529350281
128APSK,10.0,barrage,10.0,10,1.0,0.9999999880790711
128APSK,10.0,chirp,-10.0,10,0.0,0.09801910147070884
128APSK,10.0,chirp,-5.0,10,0.8,0.7077744901180267
128APSK,10.0,chirp,0.0,10,1.0,0.9990071296691895
128APSK,10.0,chirp,5.0,10,1.0,0.9999971985816956
128APSK,10.0,chirp,10.0,10,1.0,0.999999487400055
128APSK,10.0,tone,-10.0,10,0.0,0.12031544763594866
128APSK,10.0,tone,-5.0,10,0.8,0.6739526998251677
128APSK,10.0,tone,0.0,10,1.0,0.9995477199554443
128APSK,10.0,tone,5.0,10,1.0,0.9999942183494568
128APSK,10.0,tone,10.0,10,1.0,0.9999975562095642
128APSK,20.0,barrage,-10.0,9,0.0,0.10448394136296378
128APSK,20.0,barrage,-5.0,9,0.8888888888888888,0.6138545009824965
128APSK,20.0,barrage,0.0,9,1.0,0.9979062543974982
128APSK,20.0,barrage,5.0,9,1.0,0.9999989403618706
128APSK,20.0,barrage,10.0,9,1.0,1.0
128APSK,20.0,chirp,-10.0,9,0.0,0.13836542558338907
128APSK,20.0,chirp,-5.0,9,0.8888888888888888,0.7257916728655497
128APSK,20.0,chirp,0.0,9,1.0,0.99889960553911
128APSK,20.0,chirp,5.0,9,1.0,0.9999970330132378
128APSK,20.0,chirp,10.0,9,1.0,0.9999998410542806
128APSK,20.0,tone,-10.0,9,0.0,0.13930563545889324
128APSK,20.0,tone,-5.0,9,0.7777777777777778,0.6527743136717213
128APSK,20.0,tone,0.0,9,1.0,0.9980564581023322
128APSK,20.0,tone,5.0,9,1.0,0.999993191825019
128APSK,20.0,tone,10.0,9,1.0,0.9999843968285455
128APSK,30.0,barrage,-10.0,10,0.0,0.06211130023002624
128APSK,30.0,barrage,-5.0,10,0.3,0.4533125013113022
128APSK,30.0,barrage,0.0,10,1.0,0.994301837682724
128APSK,30.0,barrage,5.0,10,1.0,0.9999982595443726
128APSK,30.0,barrage,10.0,10,1.0,0.9999999761581421
128APSK,30.0,chirp,-10.0,10,0.0,0.06510893888771534
128APSK,30.0,chirp,-5.0,10,0.6,0.6173928409814835
128APSK,30.0,chirp,0.0,10,1.0,0.9956490099430084
128APSK,30.0,chirp,5.0,10,1.0,0.9999923229217529
128APSK,30.0,chirp,10.0,10,1.0,0.9999991297721863
128APSK,30.0,tone,-10.0,10,0.0,0.09129070844501257
128APSK,30.0,tone,-5.0,10,0.9,0.6729319751262665
128APSK,30.0,tone,0.0,10,1.0,0.973082572221756
128APSK,30.0,tone,5.0,10,1.0,0.9999837279319763
128APSK,30.0,tone,10.0,10,1.0,0.9999995112419129
128QAM,-20.0,barrage,-10.0,10,0.0,0.059412449970841406
128QAM,-20.0,barrage,-5.0,10,0.0,0.2969015672802925
128QAM,-20.0,barrage,0.0,10,1.0,0.9876755237579345
128QAM,-20.0,barrage,5.0,10,1.0,0.9999970316886901
128QAM,-20.0,barrage,10.0,10,1.0,0.9999999046325684
128QAM,-20.0,chirp,-10.0,10,0.0,0.06516653075814247
128QAM,-20.0,chirp,-5.0,10,0.1,0.30172409415245055
128QAM,-20.0,chirp,0.0,10,1.0,0.9974946498870849
128QAM,-20.0,chirp,5.0,10,1.0,0.9999914169311523
128QAM,-20.0,chirp,10.0,10,1.0,0.9999989628791809
128QAM,-20.0,tone,-10.0,10,0.0,0.06390156298875808
128QAM,-20.0,tone,-5.0,10,0.1,0.33308815211057663
128QAM,-20.0,tone,0.0,10,1.0,0.9858888328075409
128QAM,-20.0,tone,5.0,10,1.0,0.9999892234802246
128QAM,-20.0,tone,10.0,10,1.0,0.9999809741973877
128QAM,-10.0,barrage,-10.0,9,0.0,0.0625175680551264
128QAM,-10.0,barrage,-5.0,9,0.0,0.28360528581672245
128QAM,-10.0,barrage,0.0,9,1.0,0.98708485894733
128QAM,-10.0,barrage,5.0,9,1.0,0.9999961720572578
128QAM,-10.0,barrage,10.0,9,1.0,0.999999894036187
128QAM,-10.0,chirp,-10.0,9,0.0,0.06582923026548491
128QAM,-10.0,chirp,-5.0,9,0.4444444444444444,0.4760303265518612
128QAM,-10.0,chirp,0.0,9,1.0,0.9967929853333367
128QAM,-10.0,chirp,5.0,9,1.0,0.9999608132574294
128QAM,-10.0,chirp,10.0,9,1.0,0.999999827808804
128QAM,-10.0,tone,-10.0,9,0.0,0.05580784173475371
128QAM,-10.0,tone,-5.0,9,0.1111111111111111,0.30981579588519204
128QAM,-10.0,tone,0.0,9,1.0,0.9890053802066379
128QAM,-10.0,tone,5.0,9,1.0,0.9999768469068739
128QAM,-10.0,tone,10.0,9,1.0,0.9999986489613851
128QAM,0.0,barrage,-10.0,10,0.0,0.11126095503568649
128QAM,0.0,barrage,-5.0,10,0.6,0.496274995803833
128QAM,0.0,barrage,0.0,10,1.0,0.994967770576477
128QAM,0.0,barrage,5.0,10,1.0,0.9999978423118592
128QAM,0.0,barrage,10.0,10,1.0,0.9999999523162841
128QAM,0.0,chirp,-10.0,10,0.0,0.12374463751912117
128QAM,0.0,chirp,-5.0,10,0.9,0.661307868361473
128QAM,0.0,chirp,0.0,10,1.0,0.9979592740535737
128QAM,0.0,chirp,5.0,10,1.0,0.9999949216842652
128QAM,0.0,chirp,10.0,10,1.0,0.9999995827674866
128QAM,0.0,tone,-10.0,10,0.0,0.1488215684890747
128QAM,0.0,tone,-5.0,10,0.8,0.6193292707204818
