jammer_type,jsr_db,num_samples,detection_rate,mean_jam_probability
barrage,-10.0,1383,0.04844540853217643,0.1404306232344712
barrage,-5.0,1383,0.5336225596529284,0.543159471680656
barrage,0.0,1383,1.0,0.9949329872107213
barrage,5.0,1383,1.0,0.9999981288537545
barrage,10.0,1383,1.0,0.9999999610393356
chirp,-10.0,1383,0.05712219812002892,0.15529425943099281
chirp,-5.0,1383,0.6428054953000724,0.6138140403800957
chirp,0.0,1383,1.0,0.9888670563008246
chirp,5.0,1383,1.0,0.9999830633164831
chirp,10.0,1383,1.0,0.9999989882294716
tone,-10.0,1383,0.06869125090383225,0.1746675418770656
tone,-5.0,1383,0.6673897324656544,0.652465581471021
tone,0.0,1383,0.9992769342010123,0.9924218905032414
tone,5.0,1383,1.0,0.9999871065197694
tone,10.0,1383,1.0,0.9999938407240789
